trial_number,params,val_fitness,train_fitness,gen_gap,val_mean_recall,val_min_recall,val_max_recall,train_mean_recall,train_min_recall,n_iterations
10,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 0, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 32}",0.8129326886348223,0.9701168374098665,0.15718414877504427,0.8909323046774346,0.760932944606414,0.9300291545189504,0.9850008313887438,0.9601941747572815,14
11,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 0, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.8503135429079408,0.9867602860757902,0.13644674316784944,0.9012940613514846,0.8163265306122449,0.9354838709677419,0.9902016860632621,0.9844660194174757,22
12,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 0, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.8588858071678172,0.9765605110762472,0.11767470390843005,0.9008588327883476,0.8309037900874635,0.9317507418397626,0.9836342873993558,0.9718446601941747,13
13,"{'W_CHAR': 1, 'W_WORD': 8, 'W_BI': 0, 'W_TRI': 15, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.823286505000342,0.9827340622451715,0.1594475572448295,0.8555923557953157,0.8017492711370262,0.9078341013824884,0.9859613692051618,0.9805825242718447,17
14,"{'W_CHAR': 2, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8720984608541591,0.9874751160043298,0.1153766551501707,0.8989050442636778,0.8542274052478134,0.9358600583090378,0.989438778153117,0.9861660079051383,17
15,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8710892975199329,0.9867307491166274,0.11564145159669448,0.9007553137706776,0.8513119533527697,0.9331797235023042,0.9901278436653549,0.9844660194174757,20
16,"{'W_CHAR': 2, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8484035654259523,0.9787121434374173,0.130308578011465,0.8965191176465134,0.8163265306122449,0.9271137026239067,0.9861007469430575,0.9737864077669903,13
17,"{'W_CHAR': 2, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 64}",0.8660754825389404,0.9871987704385531,0.12112328789961269,0.9013403098458933,0.8425655976676385,0.9376854599406528,0.9898628153092108,0.9854227405247813,14
18,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 15, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 64, 'hidden_2': 64}",0.8181139685740293,0.9774706922248537,0.15935672365082443,0.8645269039423618,0.7871720116618076,0.9078341013824884,0.9829971189116485,0.9737864077669903,13
19,"{'W_CHAR': 0, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8670276579615187,0.9848804529221169,0.1178527949605982,0.8949743927172079,0.8483965014577259,0.9331797235023042,0.9884147245383019,0.9825242718446602,16
20,"{'W_CHAR': 2, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8484035654259523,0.9787121434374173,0.130308578011465,0.8965191176465134,0.8163265306122449,0.9271137026239067,0.9861007469430575,0.9737864077669903,13
