trial,train_mean_recall,val_mean_recall,val_min_recall,val_balanced_acc,overfitting,fitness,W_CHAR,W_WORD,W_BI,W_TRI,W_POS,CHAR_MIN,CHAR_MAX,alpha,learning_rate_init,activation,hidden_1,hidden_2
25,0.989316452743421,0.9022786757217875,0.8521739130434782,0.9022786757217875,0.0870377770216334,0.8627283584074779,3,6,3,0,2,3,5,0.028719451206842255,0.0008534110558570738,relu,80,40
26,0.9892938447140378,0.8965429750579065,0.8405797101449275,0.8965429750579065,0.09275086965613133,0.8523785607559471,3,6,4,0,1,3,5,0.03273062235220836,0.0015397752205897014,relu,64,56
27,0.9900137495978921,0.8965410822192481,0.8434782608695652,0.8965410822192481,0.09347266737864401,0.8528859021250211,3,6,6,1,2,3,5,0.05568908629341401,0.0006036041670622942,relu,80,40
28,0.9900358101519992,0.8968189698157102,0.8173913043478261,0.8968189698157102,0.09321684033628896,0.8425822500072004,3,5,4,1,3,3,5,0.020073346724619905,0.0025156453573210364,relu,112,64
29,0.9904840358647712,0.9000604554518182,0.8492753623188406,0.9000604554518182,0.09042358041295295,0.8562131373054485,3,10,7,3,0,3,5,0.038313031401927995,0.0018879146627379794,relu,128,40
30,0.988928850541006,0.8838762145283856,0.8347826086956521,0.8838762145283856,0.10505263601262038,0.8360218147722552,3,6,3,9,1,3,5,0.005504015637933923,0.0050639186109282365,relu,80,32
31,0.9896072406689701,0.900759506661763,0.8608695652173913,0.900759506661763,0.08884773400720714,0.8613686572248478,2,9,2,1,3,3,5,0.01922060140042526,0.0009899964283344516,relu,128,32
32,0.990488124246053,0.8960277610985966,0.8231884057971014,0.8960277610985966,0.09446036314745643,0.8435457729344198,3,9,1,0,2,3,5,0.020641437496149113,0.0008177255229071692,relu,128,40
33,0.9891661323717618,0.8978784863253835,0.855072463768116,0.8978784863253835,0.09128764604637829,0.8583928565350141,3,9,3,4,3,3,5,0.09894011569804129,0.0012234434099747595,relu,96,24
34,0.9906401871903512,0.8982885767424186,0.8347826086956521,0.8982885767424186,0.09235161044793261,0.8488609811044222,2,9,6,1,3,3,5,0.054740429629393905,0.0013545356899186355,relu,128,56
35,0.9889324164843536,0.902812351602143,0.8521739130434782,0.902812351602143,0.08612006488221058,0.8651607875934382,3,10,1,0,3,3,5,0.017956906246483023,0.0004427094416986179,tanh,48,40
36,0.9875315117551072,0.9001131515367377,0.8202898550724638,0.9001131515367377,0.08741836021836957,0.8526569824882707,3,10,1,0,2,2,5,0.0015650829808469754,0.0004529216438821638,tanh,32,64
37,0.9874996794779448,0.8906679751339707,0.8260869565217391,0.8906679751339707,0.09683170434397415,0.8434778173783142,0,10,2,0,4,3,5,0.004292714547349418,0.0002155628956468913,tanh,48,40
38,0.9882729565976838,0.9037458629975053,0.8260869565217391,0.9037458629975053,0.08452709360017852,0.8583846442546861,2,10,1,1,1,3,5,0.011933093968409598,0.0001334026540570352,tanh,48,48
39,0.9894551389870293,0.8902825146189446,0.8347826086956521,0.8902825146189446,0.09917262436808472,0.8446462306579143,3,7,9,3,2,2,4,0.04254236718367722,0.000561034297624634,tanh,64,24
40,0.9907289887463832,0.9077066730016375,0.8521739130434782,0.9077066730016375,0.08302231574474561,0.866535687141817,2,5,2,0,3,3,4,0.015773648505201143,0.0007522927354159601,tanh,96,64
41,0.9906564817614574,0.9037953623803222,0.8463768115942029,0.9037953623803222,0.08686111938113517,0.8601392374539187,2,5,2,0,3,3,4,0.014704020411174187,0.0007631598645240651,tanh,96,64
42,0.9857600624664973,0.8980192744369432,0.8115942028985508,0.8980192744369432,0.0877407880295541,0.8452213589606483,2,4,3,1,3,3,4,0.022642645319706254,0.00044491737994294686,tanh,112,48
43,0.983526776496429,0.8394750522346235,0.7217391304347827,0.8394750522346235,0.14405172426180546,0.7499284135637685,2,5,1,15,4,3,4,0.008337975039564764,0.0021185608003991504,tanh,64,80
44,0.9872134367548824,0.9006418229831844,0.8405797101449275,0.9006418229831844,0.08657161377169798,0.8567373822458583,1,6,0,0,2,3,4,0.06921375326952534,0.0006856108190895756,tanh,96,56
45,0.9861644717373057,0.8985448213542994,0.8202898550724638,0.8985448213542994,0.08761965038300634,0.8490585062782455,3,5,3,1,4,3,4,0.003875148706705056,0.0011884207855743154,tanh,48,96
46,0.9821489225597682,0.832449473259388,0.7275362318840579,0.832449473259388,0.14969944930038015,0.7419257761965988,1,4,2,11,3,2,5,0.0020290298431208382,0.0005182633986130386,tanh,144,40
