trial_number,params,val_fitness,train_fitness,gen_gap,final_score,val_mean_recall,val_min_recall,n_iterations
46,"{'W_CHAR': 3, 'W_WORD': 10, 'W_BI': 0, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8319084266609609,0.9828878310059186,0.1509794043449577,0.7254393201435243,0.8928145449132717,0.7913043478260869,16
47,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 15, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.7961986728002816,0.9802928935369197,0.18409422073663817,0.6400573416953244,0.8557140733050518,0.7565217391304347,18
48,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8545563855036769,0.9843657275738433,0.12980934207016648,0.7798423723984271,0.8929127028896272,0.8289855072463768,30
49,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8392708323300122,0.9813439356842387,0.14207310335422652,0.7461611772986725,0.8764379503902479,0.8144927536231884,14
50,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8508808998394282,0.9810069115143323,0.13012601167490412,0.775691882327072,0.8880718148159615,0.8260869565217391,14
51,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
52,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
53,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
54,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
55,"{'W_CHAR': 3, 'W_WORD': 4, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8548664281760703,0.9852468973269638,0.13038046915089352,0.77929572444973,0.8936878095706106,0.8289855072463768,19
56,"{'W_CHAR': 2, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 32}",0.8385175863308352,0.9820138948293983,0.1434963084985631,0.7432731235829906,0.8745548353923052,0.8144927536231884,14
